BeatId,Beat,SectorId
1,B1,4
2,B2,4
3,B3,4
4,C1,5
5,C2,5
6,C3,5
7,CS,NULL
8,CTY,NULL
9,D1,6
10,D2,6
11,D3,6
12,DET,NULL
13,E1,7
14,E2,7
15,E3,7
16,F1,8
17,F2,8
18,F3,8
19,G1,9
20,G2,9
21,G3,9
22,H1,10
23,INV,NULL
24,J1,11
25,J2,11
26,J3,11
27,K,NULL
28,K1,12
29,K2,12
30,K3,12
31,L1,13
32,L2,13
33,L3,13
34,LAPT,NULL
35,M1,14
36,M2,14
37,M3,14
38,N,NULL
39,N1,15
40,N2,15
41,N3,15
42,O1,16
43,O2,16
44,O3,16
45,Q1,17
46,Q2,17
47,Q3,17
48,R1,18
49,R2,18
50,R3,18
51,S,NULL
52,S1,19
53,S2,19
54,S3,19
55,SS,NULL
56,U1,22
57,U2,22
58,U3,22
59,W,NULL
60,W1,23
61,W2,23
62,W3,23
63,WS,NULL
64,X9,NULL
128,B1,4
129,B2,4
130,B3,4
131,C1,5
132,C2,5
133,C3,5
134,CS,NULL
135,CTY,NULL
136,D1,6
137,D2,6
138,D3,6
139,DET,NULL
140,E1,7
141,E2,7
142,E3,7
143,F1,8
144,F2,8
145,F3,8
146,G1,9
147,G2,9
148,G3,9
149,H1,10
150,INV,NULL
151,J1,11
152,J2,11
153,J3,11
154,K,NULL
155,K1,12
156,K2,12
157,K3,12
158,L1,13
159,L2,13
160,L3,13
161,LAPT,NULL
162,M1,14
163,M2,14
164,M3,14
165,N,NULL
166,N1,15
167,N2,15
168,N3,15
169,O1,16
170,O2,16
171,O3,16
172,Q1,17
173,Q2,17
174,Q3,17
175,R1,18
176,R2,18
177,R3,18
178,S,NULL
179,S1,19
180,S2,19
181,S3,19
182,SS,NULL
183,U1,22
184,U2,22
185,U3,22
186,W,NULL
187,W1,23
188,W2,23
189,W3,23
190,WS,NULL
191,X9,NULL
255,B1,4
256,B2,4
257,B3,4
258,C1,5
259,C2,5
260,C3,5
261,CS,NULL
262,CTY,NULL
263,D1,6
264,D2,6
265,D3,6
266,DET,NULL
267,E1,7
268,E2,7
269,E3,7
270,F1,8
271,F2,8
272,F3,8
273,G1,9
274,G2,9
275,G3,9
276,H1,10
277,INV,NULL
278,J1,11
279,J2,11
280,J3,11
281,K,NULL
282,K1,12
283,K2,12
284,K3,12
285,L1,13
286,L2,13
287,L3,13
288,LAPT,NULL
289,M1,14
290,M2,14
291,M3,14
292,N,NULL
293,N1,15
294,N2,15
295,N3,15
296,O1,16
297,O2,16
298,O3,16
299,Q1,17
300,Q2,17
301,Q3,17
302,R1,18
303,R2,18
304,R3,18
305,S,NULL
306,S1,19
307,S2,19
308,S3,19
309,SS,NULL
310,U1,22
311,U2,22
312,U3,22
313,W,NULL
314,W1,23
315,W2,23
316,W3,23
317,WS,NULL
318,X9,NULL
